創世記,Genesis
出エジプト記,Exodus
レビ記,Leviticus
民数記,Numbers
申命記,Deuteronomy
ヨシュア記,Joshua
士師記,Judges
ルツ記,Ruth
サムエル記 第一 ,1 Samuel
サムエル記 第二,2 Samuel
列王記 第一,1 Kings
列王記 第二,2 Kings
歴代誌 第一,1 Chronicles
歴代誌 第二,2 Chronicles
エズラ記,Ezra
ネヘミヤ記,Nehemiah
エステル記,Esther
ヨブ記,Job
詩篇,Psalms
箴言,Proverbs
伝道者の書,Ecclesiastes
雅歌,Song of Songs (Song of Solomon)
イザヤ書,Isaiah
エレミヤ書,Jeremiah
哀歌,Lamentations
エゼキエル書,Ezekiel
ダニエル書,Daniel
ホセア書,Hosea
ヨエル書,Joel
アモス書,Amos
オバデヤ書,Obadiah
ヨナ書,Jonah
ミカ書,Micah
ナホム書,Nahum
ハバクク書,Habakkuk
ゼパニヤ書,Zephaniah
ハガイ書,Haggai
ゼカリヤ書,Zechariah
マラキ書,Malachi
マタイの福音書,Matthew
マルコの福音書,Mark
ルカの福音書,Luke
ヨハネの福音書,John
使徒の働き,Acts
ローマ人への手紙,Romans
コリント人への手紙 第一,1 Corinthians
コリント人への手紙 第二,2 Corinthians
ガラテヤ人への手紙,Galatians
エペソ人への手紙,Ephesians
ピリピ人への手紙,Philippians
コロサイ人への手紙,Colossians
テサロニケ人への手紙 第一,1 Thessalonians
テサロニケ人への手紙 第二,2 Thessalonians
テモテへの手紙 第一,1 Timothy
テモテへの手紙 第二,2 Timothy
テトスへの手紙 ,Titus
ピレモンへの手紙,Philemon
ヘブル人への手紙,Hebrews
ヤコブの手紙,James
ペテロの手紙 第一,1 Peter
ペテロの手紙 第二,2 Peter
ヨハネの手紙 第一,1 John
ヨハネの手紙 第二,2 John
ヨハネの手紙 第三,3 John
ユダの手紙,Jude
ヨハネの黙示録,Revelation